name,auth,translator,publisher,date,price,rating,hot,url
红楼梦,曹雪芹 , 人民文学出版社 , 人民文学出版社 , 2018-1-1 , CNY 260.00,9.8,2943,https://book.douban.com/subject/30137806/
市舶司沉船案,申澜 , 广东人民出版社 , 广东人民出版社 , 2020-5 , 88.00元,7.3,159,https://book.douban.com/subject/35039515/
地球上最后的夜晚,[智利] 罗贝托·波拉尼奥 , 赵德明 , 上海人民出版社 , 2013-4-1 , 45.00元,8.3,7806,https://book.douban.com/subject/20501761/
人渣反派自救系統 上,墨香銅臭 , 平心工作室 , 平心工作室 , 2017-7-24 , NTD 330,7.2,4134,https://book.douban.com/subject/27075479/
情深不可医,六盲星 , 江苏凤凰文艺出版社 , 江苏凤凰文艺出版社 , 2017-12 , 32.80,5.9,634,https://book.douban.com/subject/27618598/
4321,[美] 保罗·奥斯特 , 李鹏程 , 九州出版社 , 2019-1 , 128.00,8.7,1626,https://book.douban.com/subject/30254236/
岛,[英] 维多利亚·希斯洛普 , 陈新宇 , 南海出版公司 , 2009-4 , 28.00,7.7,39324,https://book.douban.com/subject/3673651/
三生三世 十里桃花,唐七公子 , 沈阳出版社 , 沈阳出版社 , 2009-1 , 26.80,7.8,80389,https://book.douban.com/subject/3426869/
默读.3,Priest , 北京联合出版公司 , 北京联合出版公司 , 2018-8 , 48.00元,8.5,5961,https://book.douban.com/subject/30307059/
2001：太空漫游,[英] 阿瑟·克拉克 , 郝明义 , 上海文艺出版社 , 2019-5-10 , 62,9.2,8269,https://book.douban.com/subject/30471298/
六个道德故事,[法] 埃里克·侯麦 , 胡小跃 , 雅众文化 | 北京联合出版公司 , 2020-5 , 58.00,8.2,316,https://book.douban.com/subject/34940772/
且听风吟,[日] 村上春树 , 林少华 , 上海译文出版社 , 2001-8 , 11.80元,7.8,57755,https://book.douban.com/subject/1039752/
摆渡人2重返荒原,【英】克莱儿·麦克福尔 , 付强 , 百花洲文艺出版社 , 2017-9 , 42.8元,6.3,9329,https://book.douban.com/subject/27134325/
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 , 张乐敏 , 新星出版社 , 2013-9 , 29.00元,8.6,14295,https://book.douban.com/subject/25697546/
匡超人,骆以军 , 后浪丨上海文艺出版社 , 后浪丨上海文艺出版社 , 2020-7 , 68.00,8.3,105,https://book.douban.com/subject/35044057/
没有人给他写信的上校,[哥伦比亚] 加西亚·马尔克斯 , 陶玉平 , 南海出版公司 , 2013-5 , 19.50元,8.5,23212,https://book.douban.com/subject/20392523/
悟空传,今何在 , 光明日报出版社 , 光明日报出版社 , 2001-4 , 14.80元,8.3,113031,https://book.douban.com/subject/1003000/
哈利·波特与凤凰社,[英] J. K. 罗琳 , 马爱农、马爱新、蔡文 , 人民文学出版社 , 2003-9 , 59.00元,8.7,107002,https://book.douban.com/subject/1013129/
白天的房子，夜晚的房子,[波兰] 奥尔加·托卡尔丘克 , 易丽君、袁汉镕 , 四川人民出版社 , 2017-12 , 60.00元,8.6,4133,https://book.douban.com/subject/27131538/
海边的卡夫卡,[日] 村上春树 , 林少华 , 上海译文出版社 , 2003-4 , 25.00元,8.1,91088,https://book.douban.com/subject/1059419/
看不见的城市,[意大利]伊塔洛·卡尔维诺 , 张宓 , 译林出版社 , 2006-8 , 16.00元,8.8,34199,https://book.douban.com/subject/1863930/
群山回唱,[美] 卡勒德·胡赛尼 , 康慨 , 上海人民出版社 , 2013-8 , 36.00元,8.4,19666,https://book.douban.com/subject/24845582/
偷书贼,[澳]马库斯·苏萨克 , 陶泽慧 , 北京十月文艺出版社 , 2018-11-1 , 68.00,8.8,2793,https://book.douban.com/subject/30225784/
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 , 宫英海 , 人民文学出版社 , 2006-5 , 22.00元,8.7,36541,https://book.douban.com/subject/1818347/
哈利·波特与混血王子,[英] J. K. 罗琳 , 马爱农、马爱新 , 人民文学出版社 , 2005-10 , 58.00元,8.8,110257,https://book.douban.com/subject/1432596/
占星术杀人魔法,（日）岛田庄司 , 王鹏帆 , 新星出版社 , 2012-5 , 28.00元,8.4,9092,https://book.douban.com/subject/10740776/
查令十字街84号,[美] 海莲·汉芙 , 陈建铭 , 译林出版社 , 2005-05-01 , 18.00元,8.3,59208,https://book.douban.com/subject/1316648/
芳华,严歌苓 , 人民文学出版社 , 人民文学出版社 , 2017-4 , 39.00元,8.1,34761,https://book.douban.com/subject/27010212/
堂吉诃德,[西] 塞万提斯 , 杨绛 , 人民文学出版社 , 2015-6 , 68,8.9,2841,https://book.douban.com/subject/25837852/
罪与罚,[俄] 陀思妥耶夫斯基 , 曾思艺 , 浙江文艺出版社 , 2019-2 , 68.00元,9.5,1341,https://book.douban.com/subject/30438790/
清明上河图密码,冶文彪 , 北京联合出版公司 , 北京联合出版公司 , 2015-1-1 , 49.90元,8.2,13747,https://book.douban.com/subject/26265745/
宫墙柳,梦娃 , 江苏凤凰文艺出版社 , 江苏凤凰文艺出版社 , 2020-5-1 , 45元,7.8,439,https://book.douban.com/subject/35050945/
德米安,[德] 赫尔曼·黑塞 , 姜乙 , 天津人民出版社 , 2020-5 , 58.00元,9.0,315,https://book.douban.com/subject/35060088/
华氏451,[美] 雷·布拉德伯里 , 于而彦 , 上海译文出版社 , 2017-7 , 45.00,8.3,5307,https://book.douban.com/subject/27077129/
