name,auth,translator,publisher,date,price,rating,hot,url
MySQL技术内幕（第5版）,[美] Paul DuBois , 张雪平、何莉莉、陶虹 , 人民邮电出版社 , 2015-7 , 139.00元,8.1,31,https://book.douban.com/subject/26436525/
Craft GraphQL APIs in Elixir with Absinthe,Bruce Williams、Ben Wilson , Pragmatic Bookshelf , Pragmatic Bookshelf , 2018-4-6 , USD 47.95,not-found,,https://book.douban.com/subject/30245808/
Effective Java,Joshua Bloch , Addison-Wesley Professional , Addison-Wesley Professional , 2001-6-5 , USD 54.99,9.1,148,https://book.douban.com/subject/1246129/
Effective Java: Second Edition,Joshua Bloch , Addison-Wesley , Addison-Wesley , 2008-05-28 , USD 54.99,9.3,285,https://book.douban.com/subject/2696119/
Head First Servlets&JSP（第二版·中文版）,巴萨姆(Bryan Basham)、西拉(Kathy Sierra)、贝茨(Bert Bates) , 荆涛、林剑 等 , 中国电力出版社 , 2010-8 , 118.00元,9.2,51,https://book.douban.com/subject/4604858/
Python Cookbook,Alex Martelli、Anna Ravenscroft、David Ascher , O'Reilly Media , O'Reilly Media , 2005-3-18 , USD 49.95,8.3,232,https://book.douban.com/subject/1418172/
算法设计,[美]克菜因伯格、塔多斯 , 清华大学出版社 , 清华大学出版社 , 2006-1 , 68.00元,9.0,105,https://book.douban.com/subject/1737661/
爬虫实战：从数据到产品,贺思聪 , 电子工业出版社 , 电子工业出版社 , 2019-4 , 69.00元,7.8,13,https://book.douban.com/subject/33399750/
人人都懂设计模式：从生活中领悟设计模式：Python实现,罗伟富 , 电子工业出版社 , 电子工业出版社 , 2019-4 , 79.00元,7.0,11,https://book.douban.com/subject/33399755/
The Haskell School of Music,Paul Hudak、Donya Quick , Cambridge University Press , Cambridge University Press , 2018-10-4 , USD 59.99,not-found,10,https://book.douban.com/subject/30286800/
Java技术手册（第6版）,Benjamin J Evans、David Flanagan , 安道 , 人民邮电出版社 , 2015-12-1 , 79.00,8.0,51,https://book.douban.com/subject/26674131/
写给大家看的算法书,【日】杉浦 贤 , 绝云 , 电子工业出版社 , 2016-6 , 59.00元,7.6,64,https://book.douban.com/subject/26821588/
Structured Programming,"Edsger Wybe Dijkstra、C. A. R. Hoare,、Ole-Johan Dahl ", Academic Press , Academic Press , 1972-2-11 , USD 18.00,not-found,10,https://book.douban.com/subject/3679197/
More OCaml,John Whitington , Coherent Press , Coherent Press , 2014-8-26 , USD 39.99,not-found,10,https://book.douban.com/subject/25969636/
Component-Oriented Development and Assembly,S. V. Subrahmanya、S. Sangeetha、Piram Manickam , Auerbach Publishers Inc , Auerbach Publishers Inc , 2013-12-4 , 428.70,not-found,,https://book.douban.com/subject/26297320/
程序员必读之软件架构,[英] Simon Brown , 邓　钢 , 人民邮电出版社 , 2014-12 , 49.00元,7.2,169,https://book.douban.com/subject/26248182/
从物联到万联：Node.js与树莓派万维物联网构建实战,【美】Dominique D. Guinard、Vlad M. Trifa , 月影 , 电子工业出版社 , 2018-1 , 89,not-found,10,https://book.douban.com/subject/27624444/
Spark实战,机械工业出版社 , 2019-8,,机械工业出版社 , 2019-8,not-found,10,https://book.douban.com/subject/34808832/
Win32多线程程序设计,[美] Jim Beveridge、Robert Wiener , 侯捷 , 华中科技大学出版社 , 2002-1 , 59.80元,8.3,232,https://book.douban.com/subject/1231702/
Unity Shader入门精要,冯乐乐 , 人民邮电出版社 , 人民邮电出版社 , 2016-5-1 , CNY 69.00,8.7,178,https://book.douban.com/subject/26821639/
Offer来了：Java面试核心知识点精讲（框架篇）,王磊 , 电子工业出版社 , 电子工业出版社 , 2020-6 , 99,not-found,10,https://book.douban.com/subject/35076954/
深度学习框架PyTorch：入门与实践,陈云 , 电子工业出版社 , 电子工业出版社 , 2018-1 , 65,6.6,72,https://book.douban.com/subject/27624483/
UNIX: A History and a Memoir,Brian Kernighan , Independently published , Independently published , 2019-10-18 , USD 18.00,not-found,10,https://book.douban.com/subject/34866216/
学习JavaScript数据结构与算法（第2版）,[巴西] Loiane Groner , 邓　钢、孙晓博、吴　双、陈　迪、袁　源 , 人民邮电出版社 , 2017-9 , 49.00元,7.4,24,https://book.douban.com/subject/27129352/
Error-Free Software,Robert L. Baber , Wiley ,Robert L. Baber , Wiley , 1991-8-1,not-found,,https://book.douban.com/subject/35136566/
Programming Kotlin,Stephen Samuel、Stefan Bocutiu , Packt Publishing - ebooks Account , Packt Publishing - ebooks Account , 2017-1-18 , USD 44.99,not-found,10,https://book.douban.com/subject/26960952/
Python数据分析与数据化运营（第2版）,宋天龙 , 机械工业出版社 , 机械工业出版社 , 2019-6-1 , 129.00,not-found,10,https://book.douban.com/subject/34432067/
神经网络在应用科学和工程中的应用,萨马拉辛荷 , 2010-1 ,萨马拉辛荷 , 2010-1 , 88.00元,not-found,10,https://book.douban.com/subject/4146246/
ASP.NET Core微服务实战   在云环境中开发、测试和部署跨平台服务,[美]凯文·霍夫曼(Kevin Hoffman)著 , 陈计节 , 清华大学出版社 , 2019-12 , 59,not-found,10,https://book.douban.com/subject/34939983/
"Learning Perl, 5th Edition",Randal Schwartz、Tom Phoenix、brian d foy , O'Reilly Media , O'Reilly Media , 2008-7-7 , USD 39.99,8.7,67,https://book.douban.com/subject/3228760/
Tomcat架构解析,刘光瑞 , 人民邮电出版社 , 人民邮电出版社 , 2017-5 , 79.00元,7.8,41,https://book.douban.com/subject/27034717/
神经科学Matlab教程,Pascal Wallisch、Michael Lusignan、Marc Benayoun、Tanya I. Baker、Adam Seth Dickey、Nicholas G.  Hatsopoulos , 科学出版社 , 科学出版社 , 2012-1 , 128.00元,not-found,10,https://book.douban.com/subject/10486879/
测试驱动开发,Kent Beck , 中国电力出版社 , 中国电力出版社 , 2003-8-1 , 32.00,8.7,130,https://book.douban.com/subject/1229924/
深入浅出Ajax,（美）Brett McLaughlin , 东南大学出版社 , 东南大学出版社 , 2006-5 , 98.00元,8.4,65,https://book.douban.com/subject/1819768/
精通Spring 4.x,陈雄华、林开雄、文建国 , 电子工业出版社 , 电子工业出版社 , 2017-1-1 , CNY 128.00,8.4,120,https://book.douban.com/subject/26952826/
认知与设计,Jeff Johnson , 张一宁 , 人民邮电出版社 , 2011-9-1 , 59.00元,8.7,1549,https://book.douban.com/subject/6792322/
Type + Code: Processing for Designers,Yeohyun Ahn、Viviana Cordova , Lulu.com , Lulu.com , 2009 , 52,8.0,20,https://book.douban.com/subject/3597463/
MATLAB基础与编程入门,张威 , 西安电子科技大学出版社 , 西安电子科技大学出版社 , 2004-2-1 , 33.00元,not-found,10,https://book.douban.com/subject/1156249/
C程序设计语言,Brian W.Kernighan、Dennis M.Ritchie , 清华大学出版社 , 清华大学出版社 , 1998-4 , 23.00元,9.6,183,https://book.douban.com/subject/1230004/
从数学题解到程序设计,薛维明 编著 , 清华大学 , 清华大学 , 2002-5 , 18.00元,not-found,10,https://book.douban.com/subject/1098937/
人月神话（英文版）,"[美] Frederick P. Brooks, Jr. ", 人民邮电出版社 , 人民邮电出版社 , 2010-8 , 29.00元,8.9,118,https://book.douban.com/subject/4908230/
Text Mining with R,Julia Silge、David Robinson , O'Reilly Media , O'Reilly Media , 2017-7-2 , USD 39.99,9.1,23,https://book.douban.com/subject/27034824/
数据结构,严蔚敏、吴伟民 , 清华大学出版社 , 清华大学出版社 , 2007-3-1 , 30.0,7.0,1329,https://book.douban.com/subject/2024655/
JavaScript for Impatient Programmers,Dr. Axel Rauschmayer , exploringjs.com ,Dr. Axel Rauschmayer , exploringjs.com , USD 29,not-found,10,https://book.douban.com/subject/33424610/
并行程序设计导论,Peter Pacheco , 邓倩妮 , 机械工业出版社华章公司 , 2012-12-1 , 49.00元,7.4,34,https://book.douban.com/subject/20374756/
Java核心技术·卷 II（原书第10版）,[美] 凯.S.霍斯特曼（Cay S. Horstmann） , 陈昊鹏 , 机械工业出版社 , 2017-9 , 139.00,7.5,77,https://book.douban.com/subject/27165931/
OCaml from the Very Beginning,John Whitington , Coherent Press , Coherent Press , 2013-6-7 , USD 39.99,7.2,12,https://book.douban.com/subject/25789691/
Algorithmic Puzzles,Anany Levitin、Maria Levitin ," Oxford University Press, USA "," Oxford University Press, USA ", 2011-10-14 , USD 21.95,7.9,15,https://book.douban.com/subject/10536490/
C++反汇编与逆向分析技术揭秘,钱林松、赵海旭 , 机械工业出版社华章公司 , 机械工业出版社华章公司 , 2011-10 , 69.00元,7.6,107,https://book.douban.com/subject/6849800/
汇编语言（第4版）,王爽 , 清华大学出版社 , 清华大学出版社 , 2020-1 , 49.00,not-found,,https://book.douban.com/subject/35038473/
Akka in Action,Raymond Roestenburg、Rob Bakker , Manning Publications , Manning Publications , 2014-3-28 , USD 49.99,8.4,19,https://book.douban.com/subject/24528141/
正则指引（第2版）,余晟 , 电子工业出版社 , 电子工业出版社 , 2018-10-1 , 89.00元,9.4,20,https://book.douban.com/subject/30352656/
More Effective C#（原书第2版）,[美] 比尔·瓦格纳（Bill Wagner） , 爱飞翔 , 机械工业出版社 , 2019-3 , 79,not-found,10,https://book.douban.com/subject/32548162/
C++ Concurrency in Action,Anthony Williams , Manning Publications , Manning Publications , 2012-2-28 , USD 69.99,8.7,165,https://book.douban.com/subject/4130141/
测试驱动开发的艺术,Lasse Koskela , 李贝 , 人民邮电出版社 , 20101023 , 59.00元,7.8,84,https://book.douban.com/subject/5326182/
Kubernetes实战,吴龙辉 , 电子工业出版社 , 电子工业出版社 , 2016-4 , 69,6.3,30,https://book.douban.com/subject/26772851/
